provincia,Poblacion,mes,Num,Total_cap
Tarragona,804664,4,878,0.00109113866160286
Tarragona,804664,5,131,0.000162800870922522
Tarragona,804664,6,57,7.08370201723949e-05
Tarragona,804664,7,784,0.000974319716055397
Tarragona,804664,8,2373,0.00294905699770339
Tarragona,804664,9,2680,0.00333058270284243
Tarragona,804664,10,10541,0.0130998777129336
Tarragona,804664,11,5204,0.00646729566626567
Teruel,134137,1,0,0
Teruel,134137,2,3,2.23651937944042e-05
Teruel,134137,3,383,0.00285528974108561
Teruel,134137,4,180,0.00134191162766425
Teruel,134137,5,57,0.00042493868209368
Teruel,134137,6,16,0.000119281033570156
Teruel,134137,7,508,0.00378717281585245
Teruel,134137,8,632,0.00471160082602116
Teruel,134137,9,1220,0.00909517880972439
Teruel,134137,10,2494,0.0185929311077481
Teruel,134137,11,1154,0.00860314454624749
Toledo,694844,1,0,0
Toledo,694844,2,4,5.75668783208893e-06
Toledo,694844,3,3113,0.00448014230532321
Toledo,694844,4,1165,0.0016766353310959
Toledo,694844,5,350,0.000503710185307781
Toledo,694844,6,178,0.000256172608527957
Toledo,694844,7,312,0.000449021650902936
Toledo,694844,8,3363,0.00483993529482877
Toledo,694844,9,8544,0.012296285209342
Toledo,694844,10,10229,0.0147212899586094
Toledo,694844,11,4968,0.00714980628745445
Valencia,2565124,1,0,0
Valencia,2565124,2,64,2.49500608937424e-05
Valencia,2565124,3,4554,0.00177535277047036
Valencia,2565124,4,1411,0.000550070873766726
Valencia,2565124,5,190,7.40704932782977e-05
Valencia,2565124,6,199,7.75790955914802e-05
Valencia,2565124,7,1803,0.000702889996740898
Valencia,2565124,8,9228,0.00359748690511648
Valencia,2565124,9,7114,0.00277335520622005
Valencia,2565124,10,14872,0.00579777040018338
Valencia,2565124,11,12235,0.00476974992242091
Valladolid,519546,1,0,0
Valladolid,519546,2,10,1.92475738433171e-05
Valladolid,519546,3,2259,0.00434802693120532
Valladolid,519546,4,1910,0.00367628660407356
Valladolid,519546,5,233,0.000448468470549287
Valladolid,519546,6,144,0.000277165063343766
Valladolid,519546,7,254,0.000488888375620253
Valladolid,519546,8,2709,0.00521416775415459
Valladolid,519546,9,5373,0.0103417214260143
Valladolid,519546,10,8832,0.0169994572184176
Valladolid,519546,11,6147,0.011831483641487
Zamora,172539,1,0,0
Zamora,172539,2,1,5.79579109650572e-06
Zamora,172539,3,371,0.00215023849680362
Zamora,172539,4,276,0.00159963834263558
Zamora,172539,5,82,0.000475254869913469
Zamora,172539,6,22,0.000127507404123126
Zamora,172539,7,27,0.000156486359605654
Zamora,172539,8,380,0.00220240061667217
Zamora,172539,9,1524,0.00883278563107471
Zamora,172539,10,2574,0.0149183662824057
Zamora,172539,11,1999,0.0115857864019149
Zaragoza,964693,1,1,1.03659920824552e-06
Zaragoza,964693,2,23,2.38417817896471e-05
Zaragoza,964693,3,2692,0.00279052506859695
Zaragoza,964693,4,1550,0.00160672877278056
Zaragoza,964693,5,238,0.000246710611562435
Zaragoza,964693,6,194,0.000201100246399632
Zaragoza,964693,7,6855,0.00710588757252307
Zaragoza,964693,8,9551,0.00990055903795301
Zaragoza,964693,9,7476,0.00774961568084354
Zaragoza,964693,10,15615,0.0161864966367539
Zaragoza,964693,11,7540,0.00781595803017126
